Date,High,Low
200701011,62,39
200701021,62,44
200701031,62,42
200701041,57,45
200701051,54,44
200701061,55,36
200701071,62,45
200701081,66,48
200701091,63,39
200701101,57,37
200701111,50,37
200701121,48,35
200701131,48,30
200701141,48,28
200701151,53,28
200701161,50,30
200701171,57,37
200701181,61,33
200701191,55,35
200701201,61,35
200701211,64,43
200701221,61,36
200701231,57,35
200701241,60,35
200701251,55,39
200701261,54,44
200701271,57,48
200701281,59,45
200701291,63,45
200701301,59,41
200701311,55,48
200702011,53,46
200702021,55,44
200702031,59,37
200702041,66,39
200702051,64,43
200702061,61,46
200702071,61,51
200702081,60,51
200702091,61,55
200702101,62,55
200702111,61,46
200702121,59,43
200702131,57,46
200702141,61,39
200702151,64,44
200702161,71,46
200702171,73,51
200702181,60,46
200702191,63,44
200702201,57,45
200702211,59,48
200702221,55,44
200702231,55,42
200702241,57,39
200702251,55,48
200702261,57,44
200702271,53,39
200702281,53,37
200703011,54,37
200703021,61,39
200703031,66,43
200703041,70,48
200703051,68,53
200703061,69,46
200703071,62,51
200703081,61,46
200703091,60,45
200703101,68,46
200703111,79,48
200703121,80,52
200703131,73,53
200703141,64,48
200703151,78,46
200703161,78,50
200703171,62,51
200703181,66,46
200703191,64,48
200703201,60,48
200703211,66,46
200703221,73,43
200703231,78,48
200703241,68,48
200703251,64,53
200703261,66,48
200703271,57,46
200703281,66,42
200703291,73,42
200703301,72,46
200703311,69,46
200704011,64,46
200704021,69,46
200704031,71,46
200704041,69,50
200704051,71,52
200704061,64,52
200704071,68,51
200704081,71,51
200704091,66,50
200704101,72,46
200704111,63,50
200704121,64,46
200704131,70,44
200704141,57,51
200704151,68,46
200704161,75,46
200704171,62,48
200704181,61,45
200704191,57,42
200704201,64,46
200704211,61,43
200704221,63,48
200704231,70,44
200704241,66,46
200704251,66,48
200704261,69,48
200704271,82,50
200704281,81,55
200704291,70,53
200704301,77,51
200705011,70,48
200705021,66,52
200705031,63,48
200705041,64,51
200705051,73,46
200705061,88,54
200705071,91,57
200705081,84,60
200705091,73,55
200705101,57,52
200705111,64,51
200705121,64,50
200705131,72,46
200705141,66,50
200705151,63,51
200705161,70,48
200705171,68,50
200705181,73,50
200705191,70,52
200705201,73,51
200705211,78,54
200705221,81,51
200705231,86,55
200705241,78,55
200705251,69,54
200705261,69,55
200705271,69,54
200705281,73,52
200705291,69,53
200705301,66,55
200705311,64,54
200706011,66,54
200706021,64,54
200706031,70,55
200706041,73,59
200706051,68,55
200706061,70,53
200706071,75,51
200706081,70,50
200706091,75,53
200706101,75,55
200706111,75,53
200706121,79,52
200706131,90,59
200706141,89,60
200706151,86,59
200706161,72,55
200706171,79,53
200706181,79,57
200706191,73,55
200706201,71,55
200706211,77,55
200706221,79,54
200706231,77,54
200706241,77,53
200706251,82,53
200706261,71,54
200706271,73,55
200706281,73,57
200706291,77,60
200706301,75,54
200707011,78,54
200707021,82,57
200707031,72,57
200707041,84,59
200707051,84,61
200707061,75,60
200707071,73,55
200707081,78,55
200707091,73,57
200707101,73,59
200707111,78,62
200707121,75,59
200707131,79,60
200707141,73,60
200707151,78,62
200707161,75,59
200707171,77,60
200707181,75,63
200707191,80,59
200707201,79,59
200707211,77,61
200707221,75,63
200707231,79,64
200707241,73,61
200707251,72,57
200707261,75,60
200707271,78,60
200707281,77,57
200707291,73,57
200707301,80,59
200707311,75,59
200708011,75,59
200708021,73,60
200708031,79,60
200708041,77,59
200708051,71,57
200708061,71,59
200708071,73,57
200708081,71,55
200708091,77,60
200708101,77,57
200708111,73,57
200708121,72,55
200708131,75,55
200708141,73,55
200708151,75,57
200708161,79,60
200708171,80,55
200708181,78,57
200708191,77,55
200708201,80,64
200708211,82,62
200708221,82,60
200708231,82,57
200708241,78,59
200708251,73,61
200708261,73,61
200708271,78,59
200708281,86,62
200708291,88,68
200708301,90,68
200708311,80,66
200709011,87,62
200709021,89,61
200709031,78,61
200709041,78,63
200709051,89,57
200709061,82,64
200709071,75,61
200709081,73,62
200709091,71,61
200709101,73,59
200709111,71,59
200709121,72,60
200709131,77,57
200709141,75,60
200709151,73,57
200709161,72,61
200709171,72,55
200709181,73,55
200709191,66,55
200709201,71,52
200709211,77,57
200709221,64,57
200709231,68,55
200709241,78,52
